Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
283801,Shikuma,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome(s),,,34.098,131.761,504,,Subduction zone / Continental crust (>25 km)
283802,Tokuyama-Mitake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome,,,34.189,131.844,790,,Subduction zone / Continental crust (>25 km)
283803,Sengoku,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome(s),,,34.186,131.76,661,,Subduction zone / Continental crust (>25 km)
283804,Chojagahara,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone,,,34.271,131.669,390,,Subduction zone / Continental crust (>25 km)
283805,Aonoyama,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome(s),,,34.459,131.798,908,,Subduction zone / Continental crust (>25 km)
283806,Oetakayama,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome(s),,,35.061,132.431,808,,Subduction zone / Continental crust (>25 km)
283807,Yokote,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone(s),,,35.201,133.267,967,,Subduction zone / Continental crust (>25 km)
283808,Noro,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone,,,35.41,133.182,180,,Subduction zone / Continental crust (>25 km)
283809,Daikonjima,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone,,,35.493,133.174,42,,Subduction zone / Continental crust (>25 km)
283810,Tsuruta,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone(s),,,35.338,133.422,301,,Subduction zone / Continental crust (>25 km)
283811,Daisen,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,35.368,133.549,1729,,Subduction zone / Continental crust (>25 km)
283812,Ogino-Sen,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Pyroclastic cone(s),,,35.437,134.444,1310,,Subduction zone / Continental crust (>25 km)
283813,Takara,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Shield,Shield,,,35.343,134.922,350,,Subduction zone / Continental crust (>25 km)
283814,Nanzaki,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Minor,Pyroclastic cone,,,34.604,138.832,106,,Subduction zone / Continental crust (>25 km)
283815,Jaishi,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Shield,Shield,,,34.71,138.786,520,,Subduction zone / Continental crust (>25 km)
