FIELD_Sample_ID,Other_ID,Source,DOI,TITLE,JOURNAL,AUTHOR,YEAR,District_Name,Deposit,Deposit_Type,Magma_Series,Deposit_Class,Contained_Cu,Company,Block_ID,Hole_ID,UTAS_Catalogue_ID,Project_Name,WGS84_Longitude,WGS84_Latitude,UTM_East,UTM_North,Elevation_m,DDH_Depth,Relationship to ore,Ore score,Epoch/Era,Ore Start,Ore Age err,Ore Age Source,Age (Ma),Age err,Age Source,Prestep calc,Distance_To_Deposit_Centre,UTM_Coord_System,Sampler,Country,Material,Survey_Method,Primary_Sample_Type,Sample_Type,Laboratory_Prep,Laboratory_Analytical,Sulfide_Present,Outcrop_Lith_Category,Rock_Type,Unit_name,Unit_Code,Alteration_Type,Vein_Types,Description,Int_or_volc,NoName,SiO2_pct,Al2O3_pct,Fe2O3_pct,FeO,FeO_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Cr2O3_pct,LOI_pct,H2O+,H2O-,H2O_pct,TOTAL C,TOTAL S,CO2_pct,Sum,Ag_ppm,Al_ppm,As_ppm,Au_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Cl_ppm,Co_ppm,Cr_ppm,CO2_1,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppb,Ho_ppm,In_ppm,K_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppb,Pr_ppm,Pt_ppb,Rb_ppm,Re_ppb,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,ND143_ND144,ND143_ND144 i,eNd,PB206_PB204,PB207_PB204,PB208_PB204,SR87_SR86,SR87_SR86 i,AI,Eu/Eu*,Eu/Eu*/Yb(N),Sm(N)/Yb(N),La(N)/Yb(N),Sr/Y,Sr/Zr,(Sr/Y)/Zr,Sr/Yb,(Sr/Y)/Yb,V/Sc,Ba/Y,Fertility
ET-1144 1418-1425,,Thesis,n/a,Estudio petrogrßfico_ mineraloquÝmico y geoquÝmico_ de los cuerpos intrusivos de Sewell y La Huifa en el sector del Yacimiento El Teniente_ VI Regi¾n_ Chile,Thesis,Reich,2000,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,pre-early,2,Miocene,6.3,,Spencer et al 2083,7.05,0.14,,,,,Reich (2000),Chile,,,,,,,,,,Sewell Quartz Diorite,,,,,,,65.46,17.44,3.11,,2.798378,1.07,3.63,5.62,1.78,0.453,0.18,0.06,,1.34,,,,,,,,0.2,,,,,605,,,,,45.1,,79.2,12,,2.9,241,1.23,0.56,0.945,,,,2.1,,4,,0.2,,,21.5,,0.066,6,,,,,19.2,6,,,,4.89,,62,,,4.4,,,3.3,0.5,816,2.1,0.26,,4.07,,,0.077,2.32,75,,6.5,0.49,85,121,,,,,,,,,23.553719,,,,,,,,,,,,1
ET-1107 919-1010,,Thesis,n/a,Estudio petrogrßfico_ mineraloquÝmico y geoquÝmico_ de los cuerpos intrusivos de Sewell y La Huifa en el sector del Yacimiento El Teniente_ VI Regi¾n_ Chile,Thesis,Reich,2000,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,pre-early,2,Miocene,6.3,,Spencer et al 2084,7.05,0.14,,,,,Reich (2000),Chile,,,,,,,,,,Sewell Quartz Diorite,,,,,,,63.53,16.14,4.3,,3.86914,1.14,1.91,1.24,4.67,0.41,0.17,0.04,,5.51,,,,,,,,2,,,,,6127,,,,,25.9,,45.1,16.1,,5.6,10313,0.85,0.39,0.482,,,,1.5,,3,,0.2,,,11.4,,0.053,28,,,,,12.5,9,,,,3.02,,191,,,3.9,,,2.1,3,294,0.9,0.17,,3.4,,,0.055,2.03,102,,4.4,0.36,433,97,,,,,,,,,64.84375,,,,,,,,,,,,1
DDH1716 563-566ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2100,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,65.5,16.77,2.18,,1.961564,0.85,3.11,5.32,2.48,0.35,0.14,0.01,,1.79,,,,,0.22,,,,,,,,677,,,,,31.1,,20,,,3.8,758,0.8,0.4,0.54,,,,1.4,,2.9,,0.1,,,16.9,,0.06,,,,,,14.4,,,10,,3.65,,57,,,3,,,2.3,,740,3.9,0.2,,4.5,,,0.06,1.4,55,218,3,0.4,,102,,,,,,,,,28.316327,,,,,,,,,,,,1
DDH1943 273-276ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2101,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,64.1,16.41,0.79,,0.710842,0.87,3.27,6.09,2.38,0.37,0.14,0.01,,3.6,,,,,0.85,,,,,,,,557,,,,,28.1,,14,,,5.1,2550,0.9,0.4,0.57,,,,1.6,,2.5,,0.2,,,15.3,,0.06,9,,,,,14.1,,,,,3.43,,64,,,3,,,2.3,,737,3.1,0.2,,3.9,,,0.06,0.9,60,188,5,0.4,,91,,,,,,,,,25.773196,,,,,,,,,,,,1
DDH1913 394-397ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2102,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,65.76,17.03,2.07,,1.862586,0.72,3.19,5.47,2.41,0.36,0.13,0.01,,1.66,,,,,0.19,,,,,,,,680,,,,,26,,28,,,4.5,316,0.8,0.4,0.54,,,,1.4,,3,,0.1,,,13.7,,0.05,3,,,,,12.3,,,8,,3.13,,54,,,3,,,2.1,,825,6.1,0.2,,4,,,0.06,1.3,53,330,3,0.4,,105,,,,,,,,,26.547922,,,,,,,,,,,,1
DDH1125 279-282ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2103,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,63.64,16.77,2.74,,2.465452,1.01,3.53,5.29,2.35,0.42,0.16,0.01,,2.87,,,,,0.89,,,,,11,,,627,,,,,30.4,,34,,,3.5,1660,0.9,0.4,0.63,,,,1.7,,2.4,,0.2,,,15.6,,0.06,5,,,,,15.5,,,14,,3.75,,68,,0.7,4,,,2.6,,835,4.8,0.2,,3.6,,,0.06,2.2,80,292,4,0.4,54,88,,,,,,,,,27.586207,,,,,,,,,,,,1
DDH1475 9-10m,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2104,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,66.36,16.9,1.51,,1.358698,0.83,3.17,5.65,2.72,0.36,0.14,0.01,,1.82,,,,,0.39,,,,,,,,778,,,,,24.1,,17,,,2,1650,0.8,0.4,0.52,,,,1.4,,3,,0.1,,,12.5,,0.06,29,,,,,12.1,,,11,,2.95,,49,,,3,,,2.1,,829,0.7,0.2,,3.3,,,0.06,1,56,266,3,0.3,15,112,,,,,,,,,28.698464,,,,,,,,,,,,1
DDH1943 637-640.5ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2105,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,64.31,16.72,1.75,,1.57465,0.86,3.16,5.77,2.6,0.37,0.15,0.01,,2.85,,,,,0.5,,,,,,,,639,,,,,26.2,,9,,,4.1,919,0.7,0.3,0.51,,,,1.5,,2.4,,0.1,,,14.2,,0.05,8,,,,,12.8,,,11,,3.2,,61,,0.7,3,,,2.1,,785,0.6,0.2,,3.5,,,0.05,1,64,141,3,0.5,15,87,,,,,,,,,27.925747,,,,,,,,,,,,1
DDH1332 276-279ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2106,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,63.66,15.93,4.18,,3.761164,1.04,2.34,4.01,2.96,0.36,0.14,0.04,,4.38,,,,,1.1,,,,,,,,437,,,,,40.2,,22,,,3.8,2110,0.7,0.4,0.46,,,,1.1,,2.6,,0.1,,,24.2,,0.08,13,,,,,14.2,,,,,4.01,,110,,0.7,4,,,1.9,,331,3.1,0.1,,3.7,,,0.06,2.2,61,211,3,0.5,83,95,,,,,,,,,38.647343,,,,,,,,,,,,1
DDH1326 267-270.5ft,,Thesis,n/a,Porfido Teniente: dos fases intrusivas caracteristicas geol¾gicas_ Petrogrßficas y geoquÝmicas_ Yacimiento El Teniente.,Conference Proceedings,Rojas,2003,El Teniente,El Teniente,Cu-Mo,CA,Giant,128.5322,,,,,,,,,,,,syn,1,Miocene,6.3,,Spencer et al 2107,5.28,0.1,,,,,Rojas (2003),Chile,,,,,,,,,,Teniente Dacite Porphyry,,,,,,,63.8,17.22,3.38,,3.041324,1.47,3.88,5.79,1.87,0.5,0.2,0.02,,2.32,,,,,0.48,,,,,6,,,594,,,,,34.2,,30,,,2.6,590,1.1,0.5,0.66,,,,1.9,,2.8,,0.2,,,17.5,,0.07,3,,,,,17.4,,,10,,4.2,,59,,0.6,6,,,2.8,,977,5.3,0.2,,3.3,,,0.08,1.2,93,295,4,0.5,33,102,,,,,,,,,25.67256,,,,,,,,,,,,1
