FIELD_Sample_ID,Other_ID,Source,DOI,TITLE,JOURNAL,AUTHOR,YEAR,District_Name,Deposit,Deposit_Type,Magma_Series,Deposit_Class,Contained_Cu,Company,Block_ID,Hole_ID,UTAS_Catalogue_ID,Project_Name,WGS84_Longitude,WGS84_Latitude,UTM_East,UTM_North,Elevation_m,DDH_Depth,Relationship to ore,Ore score,Epoch/Era,Ore Start,Ore Age err,Ore Age Source,Age (Ma),Age err,Age Source,Prestep calc,Distance_To_Deposit_Centre,UTM_Coord_System,Sampler,Country,Material,Survey_Method,Primary_Sample_Type,Sample_Type,Laboratory_Prep,Laboratory_Analytical,Sulfide_Present,Outcrop_Lith_Category,Rock_Type,Unit_name,Unit_Code,Alteration_Type,Vein_Types,Description,Int_or_volc,NoName,SiO2_pct,Al2O3_pct,Fe2O3_pct,FeO,FeO_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Cr2O3_pct,LOI_pct,H2O+,H2O-,H2O_pct,TOTAL C,TOTAL S,CO2_pct,Sum,Ag_ppm,Al_ppm,As_ppm,Au_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Cl_ppm,Co_ppm,Cr_ppm,CO2_1,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppb,Ho_ppm,In_ppm,K_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppb,Pr_ppm,Pt_ppb,Rb_ppm,Re_ppb,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,ND143_ND144,ND143_ND144 i,eNd,PB206_PB204,PB207_PB204,PB208_PB204,SR87_SR86,SR87_SR86 i,AI,Eu/Eu*,Eu/Eu*/Yb(N),Sm(N)/Yb(N),La(N)/Yb(N),Sr/Y,Sr/Zr,(Sr/Y)/Zr,Sr/Yb,(Sr/Y)/Yb,V/Sc,Ba/Y,Fertility
98-518,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis (ages are standard error),,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,60.6,16.6,5.88,,5.290824,2.81,5.03,3.75,2.9,0.83,0.22,0.09,,,,,,,,,98.68,,,,,,686,,,,,53.5,,,,,4.1,,3.65,2.04,1.04,,,,4.08,,4.67,,0.71,,,25.5,,0.29,,,,,9.81,24.8,,,11,,6.29,,105,,,,,,4.8,,519,0.71,0.57,,14.31,,,,3.15,,,19.97,2.02,,167,,,,,,,,,39.406487,,,,,,,,,,,,0
98-519,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,62.6,16.4,5.42,,4.876916,2.42,4.74,3.77,3.16,0.79,0.18,0.09,,,,,,,,,99.53,,,,,,629,,,,,50.6,,,,,3.47,,3.95,2.14,1.09,,,,4.23,,5.18,,0.75,,,23.8,,0.31,,,,,9.35,24.1,,,8,,6.02,,121,,,,,,4.78,,692,0.64,0.61,,13.98,,,,4.11,,,20.6,2.17,,208,,,,,,,,,39.602555,,,,,,,,,,,,0
98-520,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,58.7,17,6.66,,5.992668,3.11,5.54,3.73,2.88,0.89,0.21,0.07,,,,,,,,,98.75,,,,,,750,,,,,68.3,,,,,7.87,,4.71,2.61,1.2,,,,5.05,,8.45,,0.93,,,32.6,,0.4,,,,,11.2,30.2,,,19,,7.89,,163,,,,,,5.92,,493,0.97,0.74,,30.11,,,,8.11,,,25.2,2.67,,285,,,,,,,,,39.252949,,,,,,,,,,,,0
98-522,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,59.6,16.5,6.54,,5.884692,3.24,5.8,3.71,2.8,0.85,0.18,0.11,,,,,,,,,99.37,,,,,,621,,,,,51.2,,,,,4.86,,3.47,1.89,1.05,,,,3.85,,4.54,,0.68,,,23.8,,0.29,,,,,9.2,23.8,,,25,,6.04,,100,,,,,,4.65,,546,0.7,0.54,,14.11,,,,3.52,,,18.49,1.95,,157,,,,,,,,,38.842444,,,,,,,,,,,,0
98-524,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,60.9,16.5,6.21,,5.587758,2.86,5.27,3.74,3.08,0.87,0.21,0.1,,,,,,,,,99.81,,,,,,646,,,,,51.3,,,,,4.81,,3.7,2,1.06,,,,4.2,,5.79,,0.73,,,24.3,,0.32,,,,,9.76,23.8,,,39,,6.04,,113,,,,,,4.76,,461,0.72,0.59,,16.73,,,,4.76,,,20.04,2.14,,210,,,,,,,,,39.732441,,,,,,,,,,,,0
98-525,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,68.1,14.7,3.76,,3.383248,1.33,2.84,3.29,4.87,0.6,0.11,0.06,,,,,,,,,99.66,,,,,,562,,,,,78,,,,,8.17,,4.41,2.53,0.76,,,,4.87,,7.95,,0.87,,,36.1,,0.39,,,,,13.3,32.2,,,18,,8.75,,238,,,,,,6.04,,258,1.18,0.7,,57.02,,,,14.17,,,24.84,2.72,,279,,,,,,,,,50.283861,,,,,,,,,,,,0
98-526,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,57.1,17.8,6.74,,6.064652,3.6,6.04,4.03,1.99,0.87,0.23,0.11,,,,,,,,,98.56,,,,,,541,,,,,37.5,,,,,1.97,,2.65,1.37,1.05,,,,3.16,,3.2,,0.5,,,17.8,,0.19,,,,,5.92,18.5,,,13,,4.49,,60,,,,,,3.71,,865,0.41,0.44,,5.58,,,,1.67,,,14.53,1.36,,126,,,,,,,,,35.696041,,,,,,,,,,,,0
98-527,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,61.7,16.7,6.13,,5.515774,2.45,4.87,4,3.18,0.85,0.22,0.09,,,,,,,,,100.09,,,,,,650,,,,,59.5,,,,,6.58,,3.94,2.22,1.04,,,,4.42,,8.96,,0.75,,,27.7,,0.34,,,,,9.74,27.5,,,46,,6.96,,117,,,,,,5.25,,416,0.74,0.63,,21.61,,,,4.92,,,20.61,2.32,,360,,,,,,,,,38.827586,,,,,,,,,,,,0
98-540,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,66.7,15.2,4.26,,3.833148,1.54,3.22,3.36,4.6,0.64,0.14,0.08,,,,,,,,,99.75,,,,,,701,,,,,63.8,,,,,6.64,,4.19,2.36,0.88,,,,4.49,,8.62,,0.81,,,29.5,,0.37,,,,,12.81,28.3,,,13,,7.43,,219,,,,,,5.37,,565,1,0.66,,28.35,,,,5.61,,,25.22,2.44,,359,,,,,,,,,48.27044,,,,,,,,,,,,0
98-549,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,61.4,16.9,5.65,,5.08387,2.52,4.6,3.91,2.97,0.8,0.2,0.07,,,,,,,,,98.96,,,,,,624,,,,,48.8,,,,,4.59,,3.4,1.89,0.98,,,,3.81,,5.9,,0.67,,,23.3,,0.3,,,,,6.59,22.4,,,21,,5.65,,61,,,,,,4.51,,456,0.69,0.54,,17.03,,,,4.54,,,13.89,1.95,,162,,,,,,,,,39.214286,,,,,,,,,,,,0
98-532,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,64.4,16.5,4.39,,3.950122,1.81,4.19,4.13,2.95,0.58,0.19,0.05,,,,,,,,,99.14,,,,,,690,,,,,47.2,,,,,4.22,,2.6,1.33,0.92,,,,3.15,,4.11,,0.48,,,23.1,,0.21,,,,,8,21,,,10,,5.43,,94,,,,,,3.82,,562,0.61,0.41,,13.41,,,,3.93,,,13.82,1.39,,146,,,,,,,,,36.391437,,,,,,,,,,,,1
98-534,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,65.7,15.2,4.85,,4.36403,1.72,3.44,3.25,4.65,0.75,0.15,0.07,,,,,,,,,99.78,,,,,,714,,,,,64.7,,,,,7.62,,4.17,2.29,0.93,,,,4.44,,10.11,,0.8,,,30.6,,0.36,,,,,11.18,28.3,,,10,,7.5,,178,,,,,,5.65,,339,0.96,0.66,,20.36,,,,6.36,,,22.53,2.43,,350,,,,,,,,,48.774885,,,,,,,,,,,,1
98-544,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,61.2,17.1,5.89,,5.299822,2.81,5.18,3.77,2.88,0.75,0.19,0.1,,,,,,,,,99.82,,,,,,627,,,,,47.4,,,,,4.51,,3.24,1.78,0.95,,,,3.64,,4.67,,0.64,,,22.5,,0.27,,,,,7.86,22.1,,,59,,5.53,,95,,,,,,4.39,,755,0.61,0.52,,15.12,,,,2.77,,,17.39,1.79,,168,,,,,,,,,38.86612,,,,,,,,,,,,1
98-548,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,73.1,14.1,1.8,,1.61964,0.37,1.29,3.4,5.12,0.27,0.05,0.02,,,,,,,,,99.51,,,,,,852,,,,,49.3,,,,,4.83,,2.96,1.8,0.47,,,,3.08,,4.48,,0.61,,,24.3,,0.3,,,,,8.81,20,,,36,,5.54,,160,,,,,,3.58,,230,0.86,0.45,,24.51,,,,4.15,,,17.18,1.97,,146,,,,,,,,,53.929273,,,,,,,,,,,,1
98-550,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,67.9,15.1,3.67,,3.302266,1.23,2.88,3.48,4.46,0.49,0.13,0.05,,,,,,,,,99.42,,,,,,644,,,,,63.5,,,,,8.49,,3.91,2.16,0.96,,,,4.26,,5.68,,0.74,,,30.1,,0.32,,,,,11.12,28.1,,,17,,7.34,,202,,,,,,5.36,,352,0.94,0.61,,25.29,,,,5.46,,,23.51,2.29,,250,,,,,,,,,47.219917,,,,,,,,,,,,1
98-551,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,63.5,16.8,4.93,,4.436014,2,4.43,4.08,3.12,0.63,0.2,0.06,,,,,,,,,99.73,,,,,,631,,,,,50.9,,,,,4.45,,2.73,1.43,0.95,,,,3.29,,4.37,,0.51,,,24.5,,0.22,,,,,10.09,22.7,,,76,,5.81,,127,,,,,,4.21,,350,0.76,0.46,,14.58,,,,4.56,,,21.93,1.55,,171,,,,,,,,,37.564197,,,,,,,,,,,,1
98-552,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,62.6,16.9,5.4,,4.85892,2.31,4.9,4,2.88,0.67,0.24,0.09,,,,,,,,,99.97,,,,,,687,,,,,48.8,,,,,5.34,,2.89,1.4,0.96,,,,3.38,,2.23,,0.53,,,23.4,,0.22,,,,,8.47,22.9,,,9,,5.76,,88,,,,,,4.38,,595,0.71,0.46,,8.75,,,,2.02,,,14.56,1.51,,74,,,,,,,,,36.834634,,,,,,,,,,,,1
98-553,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,63.7,16.7,4.77,,4.292046,2.07,3.63,3.97,3.3,0.63,0.19,0.06,,,,,,,,,99.08,,,,,,697,,,,,49.5,,,,,6.72,,2.53,1.35,0.91,,,,3,,4.24,,0.48,,,24.5,,0.21,,,,,8.68,21.7,,,41,,5.66,,128,,,,,,3.93,,495,0.65,0.42,,11.88,,,,2.86,,,14.88,1.37,,149,,,,,,,,,41.403238,,,,,,,,,,,,1
98-559,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,64.4,16.4,4.37,,3.932126,1.83,4.19,4.04,3.16,0.59,0.18,0.07,,,,,,,,,99.28,,,,,,857,,,,,55.9,,,,,8.27,,2.45,1.28,0.88,,,,3.09,,4.18,,0.47,,,29.1,,0.22,,,,,7.63,22.8,,,10,,6.14,,127,,,,,,3.87,,570,0.59,0.4,,10.92,,,,3.3,,,13.18,1.37,,178,,,,,,,,,37.74584,,,,,,,,,,,,1
98-561,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,66.7,16.1,3.7,,3.32926,1.39,3.69,4.06,3.43,0.49,0.21,0.05,,,,,,,,,99.84,,,,,,702,,,,,60.8,,,,,5.48,,2.81,1.48,0.85,,,,3.32,,4.23,,0.52,,,31.7,,0.25,,,,,7.27,24.6,,,17,,6.67,,83,,,,,,4.23,,479,0.9,0.47,,21.31,,,,4.96,,,11.72,1.66,,112,,,,,,,,,38.345267,,,,,,,,,,,,1
98-566,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,66.7,16.9,4,,3.5992,1.44,3.78,4.1,3.38,0.58,0.19,0.06,,,,,,,,,101.19,,,,,,698,,,,,51.1,,,,,5.73,,2.95,1.5,0.91,,,,3.42,,4.52,,0.57,,,25,,0.22,,,,,9.07,23,,,14,,5.87,,152,,,,,,4.19,,567,0.62,0.49,,15.26,,,,3.63,,,17.61,1.55,,305,,,,,,,,,37.952756,,,,,,,,,,,,1
98-576,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,39.1,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Gris,,,,,,,63.4,16.7,4.83,,4.346034,2.21,4.65,4.11,2.95,0.64,0.19,0.07,,,,,,,,,99.79,,,,,,621,,,,,44.4,,,,,3.98,,2.37,1.26,0.86,,,,2.88,,2.1,,0.43,,,22.1,,0.18,,,,,7.71,19.6,,,8,,5.09,,96,,,,,,3.49,,557,0.53,0.41,,10.39,,,,2.7,,,13.09,1.21,,88,,,,,,,,,37.068966,,,,,,,,,,,,1
98-535,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,2,Eocene,37.2,0.4,Campbell et al. 1984,38.5,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Clara,,,,,,,64.8,17.3,3.72,,3.347256,1.52,3.7,4.56,2.73,0.51,0.2,0.06,,,,,,,,,99.14,,,,,,738,,,,,41.5,,,,,4.92,,1.6,0.84,0.83,,,,2.13,,2.9,,0.3,,,21,,0.12,,,,,6.19,18.1,,,8,,4.71,,89,,,,,,3.1,,974,0.48,0.27,,6.7,,,,1.91,,,8.32,0.81,,105,,,,,,,,,33.972822,,,,,,,,,,,,1
98-536,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,2,Eocene,37.2,0.4,Campbell et al. 1984,38.5,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Clara,,,,,,,65.3,16.8,3.8,,3.41924,1.63,3.96,4.42,2.84,0.53,0.19,0.08,,,,,,,,,99.55,,,,,,870,,,,,39.4,,,,,2.71,,1.57,0.78,0.79,,,,2.15,,2.99,,0.28,,,20.1,,0.12,,,,,5.67,16.8,,,17,,4.41,,61,,,,,,2.98,,718,0.44,0.27,,6.28,,,,2.58,,,8.35,0.82,,108,,,,,,,,,34.785992,,,,,,,,,,,,1
98-541,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,2,Eocene,37.2,0.4,Campbell et al. 1984,38.5,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Clara,,,,,,,65.9,16.9,3.08,,2.771384,1.11,3.23,4.9,2.45,0.43,0.18,0.04,,,,,,,,,98.23,,,,,,812,,,,,38.2,,,,,1.57,,1.4,0.71,0.79,,,,1.9,,3.23,,0.27,,,20.4,,0.11,,,,,5.89,16.6,,,12,,4.38,,51,,,,,,2.77,,798,0.44,0.24,,5.64,,,,1.64,,,7.26,0.77,,121,,,,,,,,,30.453379,,,,,,,,,,,,1
98-547,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,2,Eocene,37.2,0.4,Campbell et al. 1984,38.5,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Clara,,,,,,,67.1,16.6,3.3,,2.96934,1.17,3.21,4.78,2.88,0.42,0.24,0.07,,,,,,,,,99.82,,,,,,832,,,,,43.2,,,,,3.87,,1.58,0.82,0.84,,,,2.21,,4.19,,0.31,,,22.7,,0.14,,,,,7.33,18,,,17,,4.84,,75,,,,,,3.13,,737,0.56,0.28,,7.48,,,,2.64,,,8.64,0.93,,157,,,,,,,,,33.637874,,,,,,,,,,,,1
98-554,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,2,Eocene,37.2,0.4,Campbell et al. 1984,38.5,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Fortuna Clara,,,,,,,65.6,16.9,3.76,,3.383248,1.5,3.89,4.63,2.74,0.55,0.17,0.03,,,,,,,,,99.7,,,,,,635,,,,,54.5,,,,,3.47,,2.55,1.36,0.95,,,,3.21,,2.93,,0.49,,,25.6,,0.2,,,,,8.68,23.8,,,7,,6.37,,81,,,,,,4.28,,603,0.63,0.43,,11.12,,,,3.19,,,13.45,1.44,,99,,,,,,,,,33.22884,,,,,,,,,,,,1
